#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1636273818289945702,0.0015979,0,-0.0181095,9.86651,-0.344765,0.0742203
1636273818291950729,0.000532632,0,-0.0229032,9.86172,-0.351948,0.136469
1636273818292976362,0.00213053,0.00106526,-0.0218379,9.87369,-0.390255,0.0957681
1636273818295969873,0.000532632,-0.0015979,-0.0213053,9.81862,-0.373495,0.148441
1636273818296967149,-0.00266316,0.00106526,-0.0191748,9.80186,-0.320823,0.131681
1636273818299969128,0.00266316,0.00319579,-0.0181095,9.81623,-0.332794,0.150835
1636273818301967024,0.00426106,0.0015979,-0.0170442,9.84496,-0.380678,0.105345
1636273818303967286,0.00266316,0.00106526,-0.0175769,9.87848,-0.339977,0.136469
1636273818306995599,0.00266316,0.000532632,-0.0170442,9.80426,-0.318429,0.107739
1636273818308962656,0.00426106,0.0015979,-0.0186421,9.85693,-0.344765,0.102951
1636273818310975108,0.00319579,0.00106526,-0.0149137,9.81862,-0.387861,0.0766145
1636273818311969157,0.00372843,0.000532632,-0.0186421,9.85932,-0.325611,0.155623
1636273818314978105,0.00319579,0.000532632,-0.0149137,9.79707,-0.363919,0.129287
1636273818315992886,0.00213053,-0.00266316,-0.0175769,9.89045,-0.342371,0.143652
1636273818318947891,0.00479369,0.000532632,-0.0170442,9.78271,-0.37589,0.107739
1636273818320944077,0,0.0015979,-0.0181095,9.83778,-0.366313,0.148441
1636273818322977651,0,0.000532632,-0.0229032,9.81623,-0.325611,0.124498
1636273818325010622,0.00319579,0.00372843,-0.0197074,9.87369,-0.342371,0.129287
1636273818342956664,0.00266316,-0.000532632,-0.0197074,9.82341,-0.335188,0.124498
1636273818344951673,0.00319579,0,-0.0170442,9.79947,-0.347159,0.0957681
1636273818346952361,0.000532632,-0.0015979,-0.015979,9.80426,-0.323217,0.162806
1636273818348946059,0,0.00426106,-0.02024,9.85693,-0.337582,0.153229
1636273818351942674,0.00319579,-0.0015979,-0.0191748,9.77792,-0.347159,0.105345
1636273818353940484,0.00106526,-0.000532632,-0.0154463,9.83538,-0.299275,0.131681
1636273818355948536,0.00532632,0,-0.0213053,9.91918,-0.368707,0.160412
1636273818357944576,0.00639159,0.00106526,-0.02024,9.79947,-0.292093,0.131681
1636273818358942960,0.00266316,0.0015979,-0.0213053,9.85214,-0.349553,0.117316
1636273818361941747,0.00585895,0.00106526,-0.0181095,9.79947,-0.318429,0.124498
1636273818363967568,0.00319579,0,-0.0170442,9.84975,-0.339977,0.112527
1636273818365977554,0.00106526,-0.000532632,-0.0213053,9.86411,-0.37589,0.126893
1636273818367940666,0.00426106,-0.00106526,-0.0149137,9.80186,-0.335188,0.0933739
1636273818368946999,0.00319579,0.0015979,-0.0165116,9.83299,-0.342371,0.114922
1636273818371966577,0.0015979,0,-0.0213053,9.83538,-0.35913,0.124498
1636273818373979529,-0.00213053,0.0015979,-0.0186421,9.81623,-0.299275,0.0694318
1636273818375945867,0.00426106,0.00106526,-0.0186421,9.86411,-0.323217,0.102951
1636273818378018596,0,0.00106526,-0.0181095,9.84735,-0.349553,0.0837971
1636273818380968433,0.00585895,0.00213053,-0.0207727,9.8282,-0.356736,0.0909797
1636273818382949792,0.0015979,0.0015979,-0.0234358,9.85453,-0.332794,0.0957681
1636273818384975333,0.00692422,0.00319579,-0.0186421,9.80665,-0.351948,0.134075
1636273818386964591,0.0015979,-0.000532632,-0.0197074,9.81383,-0.354342,0.114922
1636273818387969660,0.00106526,-0.00106526,-0.015979,9.80904,-0.378284,0.126893
1636273818390974112,0.000532632,-0.00106526,-0.0213053,9.84496,-0.351948,0.134075
1636273818406955085,0.00372843,0.00106526,-0.0181095,9.7875,-0.35913,0.122104
